activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
transpose_29,activation,538,539,1026,1026,67108864,0.5418591691032051,0.065536,67108864
_softmax_3,activation,540,541,1023,1023,134217728,0.5383328010849654,0.131072,134217728
getitem_47,activation,542,544,1018,1018,134217728,0.5356743370592595,0.131072,134217728
getitem_48,activation,543,-1,1022,1022,33554432,0.0,0.032768,33554432
view_37,activation,547,549,1011,1011,67108864,0.5326396811176092,0.065536,67108864
t_13,activation,548,549,1008,1008,1048576,0.5315369290933013,0.001024,1048576
getitem_50,activation,554,-1,1004,1004,16777216,0.0,0.016384,16777216
add_11,activation,555,575,988,988,67108864,0.5126985289603471,0.065536,67108864
getitem_52,activation,558,-1,988,988,131072,0.0,0.000128,131072
getitem_53,activation,559,-1,989,998,131072,0.0,0.000128,131072
view_40,activation,560,562,982,982,67108864,0.5163551690094172,0.065536,67108864
t_14,activation,561,562,979,979,4194304,0.5125438410583882,0.004096,4194304
relu_3,activation,564,565,977,977,268435456,0.5084221770633012,0.262144,268435456
getitem_55,activation,567,-1,976,976,67108864,0.0,0.065536,67108864
view_42,activation,568,570,970,970,268435456,0.4987934410013256,0.262144,268435456
t_15,activation,569,570,967,967,4194304,0.495260704917833,0.004096,4194304
getitem_57,activation,574,-1,965,965,16777216,0.0,0.016384,16777216
add_12,activation,575,619,949,949,67108864,0.4782125129066406,0.065536,67108864
getitem_59,activation,578,-1,949,949,131072,0.0,0.000128,131072
getitem_60,activation,579,-1,950,959,131072,0.0,0.000128,131072
t_16,activation,581,584,943,943,3145728,0.4822021448891608,0.003072,3145728
_unsafe_view_8,activation,583,584,941,941,67108864,0.47940560080111005,0.065536,67108864
transpose_36,activation,600,608,909,909,67108864,0.4629622407760468,0.065536,67108864
mul_5,activation,601,603,913,913,67108864,0.4677032967470584,0.065536,67108864
transpose_37,activation,602,603,915,915,67108864,0.468367712754756,0.065536,67108864
_softmax_4,activation,604,605,912,912,134217728,0.46488748874887803,0.131072,134217728
getitem_61,activation,606,608,907,907,134217728,0.4623264648020265,0.131072,134217728
getitem_62,activation,607,-1,911,911,33554432,0.0,0.032768,33554432
view_48,activation,611,613,900,900,67108864,0.45927545682713367,0.065536,67108864
t_17,activation,612,613,897,897,1048576,0.45811638486012796,0.001024,1048576
getitem_64,activation,618,-1,893,893,16777216,0.0,0.016384,16777216
add_14,activation,619,639,877,877,67108864,0.4391165449302642,0.065536,67108864
getitem_66,activation,622,-1,877,877,131072,0.0,0.000128,131072
getitem_67,activation,623,-1,878,887,131072,0.0,0.000128,131072
view_51,activation,624,626,871,871,67108864,0.4428091208226977,0.065536,67108864
t_18,activation,625,626,868,868,4194304,0.43913193692453184,0.004096,4194304
relu_4,activation,628,629,866,866,268435456,0.43509763296879805,0.262144,268435456
getitem_69,activation,631,-1,865,865,67108864,0.0,0.065536,67108864
view_53,activation,632,634,859,859,268435456,0.42529593690857265,0.262144,268435456
t_19,activation,633,634,856,856,4194304,0.42164864093065235,0.004096,4194304
getitem_71,activation,638,-1,854,854,16777216,0.0,0.016384,16777216
add_15,activation,639,683,838,838,67108864,0.4043711049295959,0.065536,67108864
getitem_73,activation,642,-1,838,838,131072,0.0,0.000128,131072
getitem_74,activation,643,-1,839,848,131072,0.0,0.000128,131072
t_20,activation,645,648,832,832,3145728,0.4086381448544558,0.003072,3145728
_unsafe_view_10,activation,647,648,830,830,67108864,0.40579756883531776,0.065536,67108864
transpose_44,activation,664,672,798,798,67108864,0.3885716807022687,0.065536,67108864
mul_6,activation,665,667,802,802,67108864,0.3934189767427739,0.065536,67108864
transpose_45,activation,666,667,804,804,67108864,0.3941439687460657,0.065536,67108864
_softmax_5,activation,668,669,801,801,134217728,0.39053248067572677,0.131072,134217728
getitem_75,activation,670,672,796,796,134217728,0.38785878467932305,0.131072,134217728
getitem_76,activation,671,-1,800,800,33554432,0.0,0.032768,33554432
view_59,activation,675,677,789,789,67108864,0.3845647367723283,0.065536,67108864
t_21,activation,676,677,786,786,1048576,0.3832970247976479,0.001024,1048576
getitem_78,activation,682,-1,782,782,16777216,0.0,0.016384,16777216
add_17,activation,683,703,766,766,67108864,0.3639858571402727,0.065536,67108864
getitem_80,activation,686,-1,766,766,131072,0.0,0.000128,131072
getitem_81,activation,687,-1,767,776,131072,0.0,0.000128,131072
view_62,activation,688,690,760,760,67108864,0.367382208758965,0.065536,67108864
t_22,activation,689,690,757,757,4194304,0.3631913608219473,0.004096,4194304
relu_5,activation,692,693,755,755,268435456,0.3591844809595494,0.262144,268435456
getitem_83,activation,695,-1,754,754,67108864,0.0,0.065536,67108864
view_64,activation,696,698,748,748,268435456,0.3482700493000447,0.262144,268435456
t_23,activation,697,698,745,745,4194304,0.34318793739750975,0.004096,4194304
getitem_85,activation,702,-1,743,743,16777216,0.0,0.016384,16777216
add_18,activation,703,704,728,728,67108864,0.33754646541550754,0.065536,67108864
getitem_87,activation,706,-1,728,728,131072,0.0,0.000128,131072
getitem_88,activation,707,-1,729,738,131072,0.0,0.000128,131072
view_66,activation,708,710,722,722,67108864,0.11072502562403679,0.07620326379872858,67108864
t_24,activation,709,710,719,719,61440000,0.0075734080299735065,0.07616795179620385,61440000
