activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem,RECOMPUTE,16777216,0.016384,318,1393
getitem_1,RECOMPUTE,4194304,0.004096,319,1409
getitem_3,RETAINED,32768,3.2e-05,322,1393
getitem_4,RETAINED,32768,3.2e-05,323,1394
t,RETAINED,3145728,0.003072,325,1387
_unsafe_view,RECOMPUTE,16777216,0.016384,327,1385
transpose_4,RECOMPUTE,16777216,0.016384,344,1353
mul_1,RECOMPUTE,16777216,0.016384,345,1357
transpose_5,RECOMPUTE,16777216,0.016384,346,1359
_softmax,RECOMPUTE,33554432,0.032768,348,1356
getitem_5,RECOMPUTE,33554432,0.032768,350,1351
getitem_6,RECOMPUTE,8388608,0.008192,351,1355
view_4,RECOMPUTE,16777216,0.016384,355,1344
t_1,RETAINED,1048576,0.001024,356,1341
getitem_8,RECOMPUTE,4194304,0.004096,362,1337
add_2,RECOMPUTE,16777216,0.016384,363,1321
getitem_10,RETAINED,32768,3.2e-05,366,1321
getitem_11,RETAINED,32768,3.2e-05,367,1322
view_7,RECOMPUTE,16777216,0.016384,368,1315
t_2,RETAINED,4194304,0.004096,369,1312
relu,RECOMPUTE,67108864,0.065536,372,1310
getitem_13,RECOMPUTE,16777216,0.016384,375,1309
view_9,RECOMPUTE,67108864,0.065536,376,1303
t_3,RECOMPUTE,4194304,0.004096,377,1300
getitem_15,RECOMPUTE,4194304,0.004096,382,1298
add_3,RECOMPUTE,16777216,0.016384,383,1282
getitem_17,RETAINED,32768,3.2e-05,386,1282
getitem_18,RETAINED,32768,3.2e-05,387,1283
t_4,RETAINED,3145728,0.003072,389,1276
_unsafe_view_2,RECOMPUTE,16777216,0.016384,391,1274
transpose_12,RECOMPUTE,16777216,0.016384,408,1242
mul_2,RECOMPUTE,16777216,0.016384,409,1246
transpose_13,RECOMPUTE,16777216,0.016384,410,1248
_softmax_1,RECOMPUTE,33554432,0.032768,412,1245
getitem_19,RECOMPUTE,33554432,0.032768,414,1240
getitem_20,RECOMPUTE,8388608,0.008192,415,1244
view_15,RECOMPUTE,16777216,0.016384,419,1233
t_5,RETAINED,1048576,0.001024,420,1230
getitem_22,RECOMPUTE,4194304,0.004096,426,1226
add_5,RECOMPUTE,16777216,0.016384,427,1210
getitem_24,RETAINED,32768,3.2e-05,430,1210
getitem_25,RETAINED,32768,3.2e-05,431,1211
view_18,RECOMPUTE,16777216,0.016384,432,1204
t_6,RECOMPUTE,4194304,0.004096,433,1201
relu_1,RECOMPUTE,67108864,0.065536,436,1199
