Batch Size,Initial Peak Memory (GB),Final Peak Memory (GB),Memory Reduction (GB),Memory Reduction (%),Initial Execution Time (s),Final Execution Time (s),Execution Time Overhead (s),Execution Time Overhead (%),Recomputation Time (s),Retained Activations,Retained Activations (%),Recomputed Activations,Recomputed Activations (%),Retained Memory (GB),Saved Memory (GB)
2,1.39,1.39,0.0,0.0,0.15,0.15,0.0,0.0,0.0,150,100.0,0,0.0,0.19,0.0
4,1.46,1.46,0.0,0.0,0.31,0.31,0.0,0.0,0.0,150,100.0,0,0.0,0.26,0.0
8,1.59,1.5,0.09000000000000008,5.660377358490571,0.41,0.57,0.15999999999999998,39.02439024390244,0.1583,137,91.3,13,8.7,0.24,0.15
16,1.85,1.5,0.3500000000000001,18.918918918918923,0.22,0.66,0.44000000000000006,200.00000000000006,0.4368,105,70.0,45,30.0,0.24,0.42
32,2.38,1.49,0.8899999999999999,37.39495798319327,0.24,1.28,1.04,433.33333333333337,1.0348,78,52.0,72,48.0,0.19,0.99
64,3.43,1.5,1.9300000000000002,56.268221574344025,0.25,2.55,2.3,919.9999999999999,2.3005,40,26.7,110,73.3,0.03,2.19
128,5.52,1.74,3.7799999999999994,68.4782608695652,0.44,4.98,4.54,1031.8181818181818,4.5345,0,0.0,150,100.0,0.0,4.32
256,9.72,2.27,7.450000000000001,76.64609053497942,0.88,9.84,8.959999999999999,1018.181818181818,8.9621,0,0.0,150,100.0,0.0,8.52
