activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem,RECOMPUTE,33554432,0.032768,318,1393
getitem_1,RECOMPUTE,8388608,0.008192,319,1409
getitem_3,RECOMPUTE,65536,6.4e-05,322,1393
getitem_4,RECOMPUTE,65536,6.4e-05,323,1394
t,RECOMPUTE,3145728,0.003072,325,1387
_unsafe_view,RECOMPUTE,33554432,0.032768,327,1385
transpose_4,RECOMPUTE,33554432,0.032768,344,1353
mul_1,RECOMPUTE,33554432,0.032768,345,1357
transpose_5,RECOMPUTE,33554432,0.032768,346,1359
_softmax,RECOMPUTE,67108864,0.065536,348,1356
getitem_5,RECOMPUTE,67108864,0.065536,350,1351
getitem_6,RECOMPUTE,16777216,0.016384,351,1355
view_4,RECOMPUTE,33554432,0.032768,355,1344
t_1,RECOMPUTE,1048576,0.001024,356,1341
getitem_8,RECOMPUTE,8388608,0.008192,362,1337
add_2,RECOMPUTE,33554432,0.032768,363,1321
getitem_10,RECOMPUTE,65536,6.4e-05,366,1321
getitem_11,RECOMPUTE,65536,6.4e-05,367,1322
view_7,RECOMPUTE,33554432,0.032768,368,1315
t_2,RECOMPUTE,4194304,0.004096,369,1312
relu,RECOMPUTE,134217728,0.131072,372,1310
getitem_13,RECOMPUTE,33554432,0.032768,375,1309
view_9,RECOMPUTE,134217728,0.131072,376,1303
t_3,RECOMPUTE,4194304,0.004096,377,1300
getitem_15,RECOMPUTE,8388608,0.008192,382,1298
add_3,RECOMPUTE,33554432,0.032768,383,1282
getitem_17,RECOMPUTE,65536,6.4e-05,386,1282
getitem_18,RECOMPUTE,65536,6.4e-05,387,1283
t_4,RECOMPUTE,3145728,0.003072,389,1276
_unsafe_view_2,RECOMPUTE,33554432,0.032768,391,1274
transpose_12,RECOMPUTE,33554432,0.032768,408,1242
mul_2,RECOMPUTE,33554432,0.032768,409,1246
transpose_13,RECOMPUTE,33554432,0.032768,410,1248
_softmax_1,RECOMPUTE,67108864,0.065536,412,1245
getitem_19,RECOMPUTE,67108864,0.065536,414,1240
getitem_20,RECOMPUTE,16777216,0.016384,415,1244
view_15,RECOMPUTE,33554432,0.032768,419,1233
t_5,RECOMPUTE,1048576,0.001024,420,1230
getitem_22,RECOMPUTE,8388608,0.008192,426,1226
add_5,RECOMPUTE,33554432,0.032768,427,1210
getitem_24,RECOMPUTE,65536,6.4e-05,430,1210
getitem_25,RECOMPUTE,65536,6.4e-05,431,1211
view_18,RECOMPUTE,33554432,0.032768,432,1204
t_6,RECOMPUTE,4194304,0.004096,433,1201
relu_1,RECOMPUTE,134217728,0.131072,436,1199
getitem_27,RECOMPUTE,33554432,0.032768,439,1198
view_20,RECOMPUTE,134217728,0.131072,440,1192
t_7,RECOMPUTE,4194304,0.004096,441,1189
getitem_29,RECOMPUTE,8388608,0.008192,446,1187
add_6,RECOMPUTE,33554432,0.032768,447,1171
getitem_31,RECOMPUTE,65536,6.4e-05,450,1171
getitem_32,RECOMPUTE,65536,6.4e-05,451,1172
t_8,RECOMPUTE,3145728,0.003072,453,1165
