activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem_66,RECOMPUTE,131072,0.000128,622,877
getitem_67,RECOMPUTE,131072,0.000128,623,878
view_51,RECOMPUTE,67108864,0.065536,624,871
t_18,RECOMPUTE,4194304,0.004096,625,868
relu_4,RECOMPUTE,268435456,0.262144,628,866
getitem_69,RECOMPUTE,67108864,0.065536,631,865
view_53,RECOMPUTE,268435456,0.262144,632,859
t_19,RECOMPUTE,4194304,0.004096,633,856
getitem_71,RECOMPUTE,16777216,0.016384,638,854
add_15,RECOMPUTE,67108864,0.065536,639,838
getitem_73,RECOMPUTE,131072,0.000128,642,838
getitem_74,RECOMPUTE,131072,0.000128,643,839
t_20,RECOMPUTE,3145728,0.003072,645,832
_unsafe_view_10,RECOMPUTE,67108864,0.065536,647,830
transpose_44,RECOMPUTE,67108864,0.065536,664,798
mul_6,RECOMPUTE,67108864,0.065536,665,802
transpose_45,RECOMPUTE,67108864,0.065536,666,804
_softmax_5,RECOMPUTE,134217728,0.131072,668,801
getitem_75,RECOMPUTE,134217728,0.131072,670,796
getitem_76,RECOMPUTE,33554432,0.032768,671,800
view_59,RECOMPUTE,67108864,0.065536,675,789
t_21,RECOMPUTE,1048576,0.001024,676,786
getitem_78,RECOMPUTE,16777216,0.016384,682,782
add_17,RECOMPUTE,67108864,0.065536,683,766
getitem_80,RECOMPUTE,131072,0.000128,686,766
getitem_81,RECOMPUTE,131072,0.000128,687,767
view_62,RECOMPUTE,67108864,0.065536,688,760
t_22,RECOMPUTE,4194304,0.004096,689,757
relu_5,RECOMPUTE,268435456,0.262144,692,755
getitem_83,RECOMPUTE,67108864,0.065536,695,754
view_64,RECOMPUTE,268435456,0.262144,696,748
t_23,RECOMPUTE,4194304,0.004096,697,745
getitem_85,RECOMPUTE,16777216,0.016384,702,743
add_18,RECOMPUTE,67108864,0.065536,703,728
getitem_87,RECOMPUTE,131072,0.000128,706,728
getitem_88,RECOMPUTE,131072,0.000128,707,729
view_66,RECOMPUTE,67108864,0.0762032637987285,708,722
t_24,RECOMPUTE,61440000,0.0761679517962038,709,719
