rank,node_name,op_type,node_type,gtype,median_run_time_s,median_peak_mem_bytes,median_active_mem_bytes,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,memory_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes,device
0,arg0_1,placeholder,parameter,forward,2.2528000175952913e-05,613063680,613063680,-1,-1,-1,-1,61440000,0.0,0.0,0,unknown
1,arg0_2,placeholder,parameter,forward,1.8688000738620758e-05,613063680,613063680,-1,-1,-1,-1,3145728,0.0,0.0,0,unknown
2,arg0_3,placeholder,parameter,forward,1.8335999920964242e-05,613063680,613063680,-1,-1,-1,-1,6144,0.0,0.0,0,unknown
3,arg0_4,placeholder,parameter,forward,1.852799952030182e-05,613063680,613063680,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
4,arg0_5,placeholder,parameter,forward,1.8208000808954238e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
5,arg0_6,placeholder,parameter,forward,1.740800030529499e-05,613063680,613063680,-1,-1,-1,-1,4194304,0.0,0.0,0,unknown
6,arg0_7,placeholder,parameter,forward,1.6543999314308167e-05,613063680,613063680,-1,-1,-1,-1,8192,0.0,0.0,0,unknown
7,arg0_8,placeholder,parameter,forward,1.7376000061631202e-05,613063680,613063680,-1,-1,-1,-1,4194304,0.0,0.0,0,unknown
8,arg0_9,placeholder,parameter,forward,1.7376000061631202e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
9,arg0_10,placeholder,parameter,forward,1.740800030529499e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
10,arg0_11,placeholder,parameter,forward,1.740800030529499e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
11,arg0_12,placeholder,parameter,forward,1.740800030529499e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
12,arg0_13,placeholder,parameter,forward,2.115200087428093e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
13,arg0_14,placeholder,parameter,forward,1.6607999801635744e-05,613063680,613063680,-1,-1,-1,-1,3145728,0.0,0.0,0,unknown
14,arg0_15,placeholder,parameter,forward,1.740800030529499e-05,613063680,613063680,-1,-1,-1,-1,6144,0.0,0.0,0,unknown
15,arg0_16,placeholder,parameter,forward,1.740800030529499e-05,613063680,613063680,-1,-1,-1,-1,1048576,0.0,0.0,0,unknown
16,arg0_17,placeholder,parameter,forward,1.7311999574303626e-05,613063680,613063680,-1,-1,-1,-1,2048,0.0,0.0,0,unknown
