activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem,RETAINED,4194304,0.004096,318,1393
getitem_1,RETAINED,1048576,0.001024,319,1409
getitem_3,RETAINED,8192,8e-06,322,1393
getitem_4,RETAINED,8192,8e-06,323,1394
t,RETAINED,3145728,0.003072,325,1387
_unsafe_view,RETAINED,4194304,0.004096,327,1385
transpose_4,RECOMPUTE,4194304,0.004096,344,1353
mul_1,RECOMPUTE,4194304,0.004096,345,1357
transpose_5,RECOMPUTE,4194304,0.004096,346,1359
_softmax,RECOMPUTE,8388608,0.008192,348,1356
getitem_5,RECOMPUTE,8388608,0.008192,350,1351
getitem_6,RETAINED,2097152,0.002048,351,1355
view_4,RETAINED,4194304,0.004096,355,1344
t_1,RETAINED,1048576,0.001024,356,1341
getitem_8,RETAINED,1048576,0.001024,362,1337
add_2,RETAINED,4194304,0.004096,363,1321
getitem_10,RETAINED,8192,8e-06,366,1321
getitem_11,RETAINED,8192,8e-06,367,1322
view_7,RETAINED,4194304,0.004096,368,1315
t_2,RETAINED,4194304,0.004096,369,1312
relu,RECOMPUTE,16777216,0.016384,372,1310
getitem_13,RETAINED,4194304,0.004096,375,1309
view_9,RECOMPUTE,16777216,0.016384,376,1303
t_3,RETAINED,4194304,0.004096,377,1300
getitem_15,RETAINED,1048576,0.001024,382,1298
add_3,RECOMPUTE,4194304,0.004096,383,1282
getitem_17,RETAINED,8192,8e-06,386,1282
getitem_18,RETAINED,8192,8e-06,387,1283
t_4,RETAINED,3145728,0.003072,389,1276
_unsafe_view_2,RETAINED,4194304,0.004096,391,1274
transpose_12,RETAINED,4194304,0.004096,408,1242
mul_2,RETAINED,4194304,0.004096,409,1246
transpose_13,RETAINED,4194304,0.004096,410,1248
_softmax_1,RECOMPUTE,8388608,0.008192,412,1245
getitem_19,RECOMPUTE,8388608,0.008192,414,1240
getitem_20,RETAINED,2097152,0.002048,415,1244
view_15,RETAINED,4194304,0.004096,419,1233
t_5,RETAINED,1048576,0.001024,420,1230
getitem_22,RETAINED,1048576,0.001024,426,1226
add_5,RECOMPUTE,4194304,0.004096,427,1210
getitem_24,RETAINED,8192,8e-06,430,1210
getitem_25,RETAINED,8192,8e-06,431,1211
view_18,RETAINED,4194304,0.004096,432,1204
t_6,RECOMPUTE,4194304,0.004096,433,1201
relu_1,RECOMPUTE,16777216,0.016384,436,1199
getitem_27,RETAINED,4194304,0.004096,439,1198
view_20,RECOMPUTE,16777216,0.016384,440,1192
t_7,RECOMPUTE,4194304,0.004096,441,1189
getitem_29,RETAINED,1048576,0.001024,446,1187
add_6,RETAINED,4194304,0.004096,447,1171
getitem_31,RETAINED,8192,8e-06,450,1171
getitem_32,RETAINED,8192,8e-06,451,1172
t_8,RETAINED,3145728,0.003072,453,1165
_unsafe_view_4,RETAINED,4194304,0.004096,455,1163
transpose_20,RETAINED,4194304,0.004096,472,1131
mul_3,RECOMPUTE,4194304,0.004096,473,1135
transpose_21,RECOMPUTE,4194304,0.004096,474,1137
_softmax_2,RECOMPUTE,8388608,0.008192,476,1134
getitem_33,RECOMPUTE,8388608,0.008192,478,1129
getitem_34,RETAINED,2097152,0.002048,479,1133
view_26,RECOMPUTE,4194304,0.004096,483,1122
t_9,RETAINED,1048576,0.001024,484,1119
getitem_36,RETAINED,1048576,0.001024,490,1115
add_8,RETAINED,4194304,0.004096,491,1099
getitem_38,RETAINED,8192,8e-06,494,1099
getitem_39,RETAINED,8192,8e-06,495,1100
view_29,RECOMPUTE,4194304,0.004096,496,1093
t_10,RETAINED,4194304,0.004096,497,1090
relu_2,RECOMPUTE,16777216,0.016384,500,1088
getitem_41,RETAINED,4194304,0.004096,503,1087
view_31,RECOMPUTE,16777216,0.016384,504,1081
t_11,RETAINED,4194304,0.004096,505,1078
getitem_43,RETAINED,1048576,0.001024,510,1076
add_9,RETAINED,4194304,0.004096,511,1060
getitem_45,RETAINED,8192,8e-06,514,1060
getitem_46,RETAINED,8192,8e-06,515,1061
t_12,RETAINED,3145728,0.003072,517,1054
_unsafe_view_6,RECOMPUTE,4194304,0.004096,519,1052
transpose_28,RECOMPUTE,4194304,0.004096,536,1020
mul_4,RECOMPUTE,4194304,0.004096,537,1024
transpose_29,RETAINED,4194304,0.004096,538,1026
_softmax_3,RECOMPUTE,8388608,0.008192,540,1023
getitem_47,RECOMPUTE,8388608,0.008192,542,1018
getitem_48,RETAINED,2097152,0.002048,543,1022
view_37,RETAINED,4194304,0.004096,547,1011
t_13,RETAINED,1048576,0.001024,548,1008
getitem_50,RETAINED,1048576,0.001024,554,1004
add_11,RETAINED,4194304,0.004096,555,988
getitem_52,RETAINED,8192,8e-06,558,988
getitem_53,RETAINED,8192,8e-06,559,989
view_40,RECOMPUTE,4194304,0.004096,560,982
t_14,RETAINED,4194304,0.004096,561,979
relu_3,RECOMPUTE,16777216,0.016384,564,977
getitem_55,RETAINED,4194304,0.004096,567,976
view_42,RECOMPUTE,16777216,0.016384,568,970
t_15,RECOMPUTE,4194304,0.004096,569,967
getitem_57,RETAINED,1048576,0.001024,574,965
add_12,RETAINED,4194304,0.004096,575,949
getitem_59,RETAINED,8192,8e-06,578,949
getitem_60,RETAINED,8192,8e-06,579,950
t_16,RETAINED,3145728,0.003072,581,943
_unsafe_view_8,RETAINED,4194304,0.004096,583,941
transpose_36,RETAINED,4194304,0.004096,600,909
mul_5,RECOMPUTE,4194304,0.004096,601,913
transpose_37,RETAINED,4194304,0.004096,602,915
_softmax_4,RECOMPUTE,8388608,0.008192,604,912
getitem_61,RECOMPUTE,8388608,0.008192,606,907
getitem_62,RETAINED,2097152,0.002048,607,911
view_48,RETAINED,4194304,0.004096,611,900
t_17,RETAINED,1048576,0.001024,612,897
getitem_64,RETAINED,1048576,0.001024,618,893
add_14,RECOMPUTE,4194304,0.004096,619,877
getitem_66,RETAINED,8192,8e-06,622,877
getitem_67,RETAINED,8192,8e-06,623,878
view_51,RECOMPUTE,4194304,0.004096,624,871
t_18,RETAINED,4194304,0.004096,625,868
relu_4,RECOMPUTE,16777216,0.016384,628,866
getitem_69,RETAINED,4194304,0.004096,631,865
view_53,RECOMPUTE,16777216,0.016384,632,859
t_19,RETAINED,4194304,0.004096,633,856
getitem_71,RETAINED,1048576,0.001024,638,854
add_15,RETAINED,4194304,0.004096,639,838
getitem_73,RETAINED,8192,8e-06,642,838
getitem_74,RETAINED,8192,8e-06,643,839
t_20,RETAINED,3145728,0.003072,645,832
_unsafe_view_10,RETAINED,4194304,0.004096,647,830
transpose_44,RETAINED,4194304,0.004096,664,798
mul_6,RETAINED,4194304,0.004096,665,802
transpose_45,RETAINED,4194304,0.004096,666,804
_softmax_5,RECOMPUTE,8388608,0.008192,668,801
getitem_75,RECOMPUTE,8388608,0.008192,670,796
getitem_76,RETAINED,2097152,0.002048,671,800
view_59,RETAINED,4194304,0.004096,675,789
t_21,RETAINED,1048576,0.001024,676,786
getitem_78,RETAINED,1048576,0.001024,682,782
add_17,RETAINED,4194304,0.004096,683,766
getitem_80,RETAINED,8192,8e-06,686,766
getitem_81,RETAINED,8192,8e-06,687,767
view_62,RETAINED,4194304,0.004096,688,760
t_22,RETAINED,4194304,0.004096,689,757
relu_5,RECOMPUTE,16777216,0.016384,692,755
getitem_83,RECOMPUTE,4194304,0.004096,695,754
view_64,RECOMPUTE,16777216,0.016384,696,748
t_23,RETAINED,4194304,0.004096,697,745
getitem_85,RETAINED,1048576,0.001024,702,743
add_18,RETAINED,4194304,0.004096,703,728
getitem_87,RETAINED,8192,8e-06,706,728
getitem_88,RETAINED,8192,8e-06,707,729
view_66,RETAINED,4194304,0.0055516160642728,708,722
t_24,RECOMPUTE,61440000,0.06,709,719
