activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
getitem,activation,318,363,1393,1393,8388608,0.14889740829728562,0.008192,8388608
getitem_1,activation,319,-1,1409,1409,2097152,0.0,0.002048,2097152
getitem_3,activation,322,-1,1393,1393,16384,0.0,1.6e-05,16384
getitem_4,activation,323,-1,1394,1403,16384,0.0,1.6e-05,16384
t,activation,325,328,1387,1387,3145728,0.15002585627883702,0.003072,3145728
_unsafe_view,activation,327,328,1385,1385,8388608,0.14933875227347046,0.008192,8388608
transpose_4,activation,344,352,1353,1353,8388608,0.14565193628147274,0.008192,8388608
mul_1,activation,345,347,1357,1357,8388608,0.1464701442681256,0.008192,8388608
transpose_5,activation,346,347,1359,1359,8388608,0.14667593627609343,0.008192,8388608
_softmax,activation,348,349,1356,1356,16777216,0.1461209602765742,0.016384,16777216
getitem_5,activation,350,352,1351,1351,16777216,0.14540617627464264,0.016384,16777216
getitem_6,activation,351,-1,1355,1355,4194304,0.0,0.004096,4194304
view_4,activation,355,357,1344,1344,8388608,0.14443334426917162,0.008192,8388608
t_1,activation,356,357,1341,1341,1048576,0.1440850882697853,0.001024,1048576
getitem_8,activation,362,-1,1337,1337,2097152,0.0,0.002048,2097152
add_2,activation,363,383,1321,1321,8388608,0.14002822422608763,0.008192,8388608
getitem_10,activation,366,-1,1321,1321,16384,0.0,1.6e-05,16384
getitem_11,activation,367,-1,1322,1331,16384,0.0,1.6e-05,16384
view_7,activation,368,370,1315,1315,8388608,0.14065683225356065,0.008192,8388608
t_2,activation,369,370,1312,1312,4194304,0.13970041627809426,0.004096,4194304
relu,activation,372,373,1310,1310,33554432,0.1389734402857723,0.032768,33554432
getitem_13,activation,375,-1,1309,1309,8388608,0.0,0.008192,8388608
view_9,activation,376,378,1303,1303,33554432,0.13664288026839522,0.032768,33554432
t_3,activation,377,378,1300,1300,4194304,0.13565878429263856,0.004096,4194304
getitem_15,activation,382,-1,1298,1298,2097152,0.0,0.002048,2097152
add_3,activation,383,427,1282,1282,8388608,0.1315891522392632,0.008192,8388608
getitem_17,activation,386,-1,1282,1282,16384,0.0,1.6e-05,16384
getitem_18,activation,387,-1,1283,1292,16384,0.0,1.6e-05,16384
t_4,activation,389,392,1276,1276,3145728,0.13268000025115922,0.003072,3145728
_unsafe_view_2,activation,391,392,1274,1274,8388608,0.1319959682244809,0.008192,8388608
transpose_12,activation,408,416,1242,1242,8388608,0.12839014422148484,0.008192,8388608
mul_2,activation,409,411,1246,1246,8388608,0.1292011202163996,0.008192,8388608
transpose_13,activation,410,411,1248,1248,8388608,0.12939977622218446,0.008192,8388608
_softmax_1,activation,412,413,1245,1245,16777216,0.12885913621261733,0.016384,16777216
getitem_19,activation,414,416,1240,1240,16777216,0.12817715222574788,0.016384,16777216
getitem_20,activation,415,-1,1244,1244,4194304,0.0,0.004096,4194304
view_15,activation,419,421,1233,1233,8388608,0.12719104023650302,0.008192,8388608
t_5,activation,420,421,1230,1230,1048576,0.1268622402511538,0.001024,1048576
getitem_22,activation,426,-1,1226,1226,2097152,0.0,0.002048,2097152
add_5,activation,427,447,1210,1210,8388608,0.12276000025123372,0.008192,8388608
getitem_24,activation,430,-1,1210,1210,16384,0.0,1.6e-05,16384
getitem_25,activation,431,-1,1211,1220,16384,0.0,1.6e-05,16384
view_18,activation,432,434,1204,1204,8388608,0.12342355225048972,0.008192,8388608
t_6,activation,433,434,1201,1201,4194304,0.12244972824864102,0.004096,4194304
relu_1,activation,436,437,1199,1199,33554432,0.12172668823041034,0.032768,33554432
getitem_27,activation,439,-1,1198,1198,8388608,0.0,0.008192,8388608
view_20,activation,440,442,1192,1192,33554432,0.11935920020192875,0.032768,33554432
t_7,activation,441,442,1189,1189,4194304,0.11837718421034528,0.004096,4194304
getitem_29,activation,446,-1,1187,1187,2097152,0.0,0.002048,2097152
add_6,activation,447,491,1171,1171,8388608,0.11417385622672749,0.008192,8388608
getitem_31,activation,450,-1,1171,1171,16384,0.0,1.6e-05,16384
getitem_32,activation,451,-1,1172,1181,16384,0.0,1.6e-05,16384
t_8,activation,453,456,1165,1165,3145728,0.11533811220526707,0.003072,3145728
_unsafe_view_4,activation,455,456,1163,1163,8388608,0.11465920022502554,0.008192,8388608
transpose_20,activation,472,480,1131,1131,8388608,0.11103734422475114,0.008192,8388608
mul_3,activation,473,475,1135,1135,8388608,0.1118422402273865,0.008192,8388608
transpose_21,activation,474,475,1137,1137,8388608,0.11204499222524479,0.008192,8388608
_softmax_2,activation,476,477,1134,1134,16777216,0.11149920022301389,0.016384,16777216
getitem_33,activation,478,480,1129,1129,16777216,0.11083356822468356,0.016384,16777216
getitem_34,activation,479,-1,1133,1133,4194304,0.0,0.004096,4194304
view_26,activation,483,485,1122,1122,8388608,0.10984230422601118,0.008192,8388608
t_9,activation,484,485,1119,1119,1048576,0.10951155223697438,0.001024,1048576
getitem_36,activation,490,-1,1115,1115,2097152,0.0,0.002048,2097152
add_8,activation,491,511,1099,1099,8388608,0.10541571223735823,0.008192,8388608
getitem_38,activation,494,-1,1099,1099,16384,0.0,1.6e-05,16384
getitem_39,activation,495,-1,1100,1109,16384,0.0,1.6e-05,16384
view_29,activation,496,498,1093,1093,8388608,0.10609760021604614,0.008192,8388608
t_10,activation,497,498,1090,1090,4194304,0.10514425618760305,0.004096,4194304
relu_2,activation,500,501,1088,1088,33554432,0.10440192020498232,0.032768,33554432
getitem_41,activation,503,-1,1087,1087,8388608,0.0,0.008192,8388608
view_31,activation,504,506,1081,1081,33554432,0.10208051223494129,0.032768,33554432
t_11,activation,505,506,1078,1078,4194304,0.10110156824253516,0.004096,4194304
getitem_43,activation,510,-1,1076,1076,2097152,0.0,0.002048,2097152
add_9,activation,511,555,1060,1060,8388608,0.0970672322455795,0.008192,8388608
getitem_45,activation,514,-1,1060,1060,16384,0.0,1.6e-05,16384
getitem_46,activation,515,-1,1061,1070,16384,0.0,1.6e-05,16384
t_12,activation,517,520,1054,1054,3145728,0.09810227223858252,0.003072,3145728
_unsafe_view_6,activation,519,520,1052,1052,8388608,0.09741004821658149,0.008192,8388608
transpose_28,activation,536,544,1020,1020,8388608,0.09378320022672426,0.008192,8388608
mul_4,activation,537,539,1024,1024,8388608,0.09462073622457694,0.008192,8388608
transpose_29,activation,538,539,1026,1026,8388608,0.09484908821992587,0.008192,8388608
_softmax_3,activation,540,541,1023,1023,16777216,0.09428384022973489,0.016384,16777216
getitem_47,activation,542,544,1018,1018,16777216,0.09355894423276197,0.016384,16777216
getitem_48,activation,543,-1,1022,1022,4194304,0.0,0.004096,4194304
view_37,activation,547,549,1011,1011,8388608,0.09254409624263653,0.008192,8388608
t_13,activation,548,549,1008,1008,1048576,0.09218364823050805,0.001024,1048576
getitem_50,activation,554,-1,1004,1004,2097152,0.0,0.002048,2097152
add_11,activation,555,575,988,988,8388608,0.0876404481828213,0.008192,8388608
getitem_52,activation,558,-1,988,988,16384,0.0,1.6e-05,16384
getitem_53,activation,559,-1,989,998,16384,0.0,1.6e-05,16384
view_40,activation,560,562,982,982,8388608,0.08836444823443894,0.008192,8388608
t_14,activation,561,562,979,979,4194304,0.08738755222223703,0.004096,4194304
relu_3,activation,564,565,977,977,33554432,0.0866552642118186,0.032768,33554432
getitem_55,activation,567,-1,976,976,8388608,0.0,0.008192,8388608
view_42,activation,568,570,970,970,33554432,0.08413520018756392,0.032768,33554432
t_15,activation,569,570,967,967,4194304,0.08315737618319692,0.004096,4194304
getitem_57,activation,574,-1,965,965,2097152,0.0,0.002048,2097152
add_12,activation,575,619,949,949,8388608,0.07889868815056983,0.008192,8388608
getitem_59,activation,578,-1,949,949,16384,0.0,1.6e-05,16384
getitem_60,activation,579,-1,950,959,16384,0.0,1.6e-05,16384
t_16,activation,581,584,943,943,3145728,0.08009379214607182,0.003072,3145728
_unsafe_view_8,activation,583,584,941,941,8388608,0.07938822412677113,0.008192,8388608
transpose_36,activation,600,608,909,909,8388608,0.07577235211059458,0.008192,8388608
mul_5,activation,601,603,913,913,8388608,0.07659872012026613,0.008192,8388608
transpose_37,activation,602,603,915,915,8388608,0.07681785612367098,0.008192,8388608
_softmax_4,activation,604,605,912,912,16777216,0.07628128011710947,0.016384,16777216
getitem_61,activation,606,608,907,907,16777216,0.07556448010914035,0.016384,16777216
getitem_62,activation,607,-1,911,911,4194304,0.0,0.004096,4194304
view_48,activation,611,613,900,900,8388608,0.07453433609753853,0.008192,8388608
t_17,activation,612,613,897,897,1048576,0.07418825608305638,0.001024,1048576
getitem_64,activation,618,-1,893,893,2097152,0.0,0.002048,2097152
add_14,activation,619,639,877,877,8388608,0.06980028804391623,0.008192,8388608
getitem_66,activation,622,-1,877,877,16384,0.0,1.6e-05,16384
getitem_67,activation,623,-1,878,887,16384,0.0,1.6e-05,16384
view_51,activation,624,626,871,871,8388608,0.07049881601147354,0.008192,8388608
t_18,activation,625,626,868,868,4194304,0.06943078406341373,0.004096,4194304
relu_4,activation,628,629,866,866,33554432,0.06868627207167445,0.032768,33554432
getitem_69,activation,631,-1,865,865,8388608,0.0,0.008192,8388608
view_53,activation,632,634,859,859,33554432,0.06609971209242939,0.032768,33554432
t_19,activation,633,634,856,856,4194304,0.06499686414189636,0.004096,4194304
getitem_71,activation,638,-1,854,854,2097152,0.0,0.002048,2097152
add_15,activation,639,683,838,838,8388608,0.06071286417171359,0.008192,8388608
getitem_73,activation,642,-1,838,838,16384,0.0,1.6e-05,16384
getitem_74,activation,643,-1,839,848,16384,0.0,1.6e-05,16384
t_20,activation,645,648,832,832,3145728,0.061770656142383806,0.003072,3145728
_unsafe_view_10,activation,647,648,830,830,8388608,0.061011872133240094,0.008192,8388608
transpose_44,activation,664,672,798,798,8388608,0.05733872013725339,0.008192,8388608
mul_6,activation,665,667,802,802,8388608,0.05815689614787696,0.008192,8388608
transpose_45,activation,666,667,804,804,8388608,0.05837494414485989,0.008192,8388608
_softmax_5,activation,668,669,801,801,16777216,0.05783843214437364,0.016384,16777216
getitem_75,activation,670,672,796,796,16777216,0.0571094401385635,0.016384,16777216
getitem_76,activation,671,-1,800,800,4194304,0.0,0.004096,4194304
view_59,activation,675,677,789,789,8388608,0.05606496013887225,0.008192,8388608
t_21,activation,676,677,786,786,1048576,0.055708608135581004,0.001024,1048576
getitem_78,activation,682,-1,782,782,2097152,0.0,0.002048,2097152
add_17,activation,683,703,766,766,8388608,0.05138022422045468,0.008192,8388608
getitem_80,activation,686,-1,766,766,16384,0.0,1.6e-05,16384
getitem_81,activation,687,-1,767,776,16384,0.0,1.6e-05,16384
view_62,activation,688,690,760,760,8388608,0.05202124818228183,0.008192,8388608
t_22,activation,689,690,757,757,4194304,0.05094809618964789,0.004096,4194304
relu_5,activation,692,693,755,755,33554432,0.05022208019718526,0.032768,33554432
getitem_83,activation,695,-1,754,754,8388608,0.0,0.008192,8388608
view_64,activation,696,698,748,748,33554432,0.04766208018921314,0.032768,33554432
t_23,activation,697,698,745,745,4194304,0.04652134416438637,0.004096,4194304
getitem_85,activation,702,-1,743,743,2097152,0.0,0.002048,2097152
add_18,activation,703,704,728,728,8388608,0.045345856161788094,0.008192,8388608
getitem_87,activation,706,-1,728,728,16384,0.0,1.6e-05,16384
getitem_88,activation,707,-1,729,738,16384,0.0,1.6e-05,16384
view_66,activation,708,710,722,722,8388608,0.015444032326340677,0.008192,8388608
t_24,activation,709,710,719,719,61440000,0.0017736320551484826,0.06,61440000
