activation_name,node_type,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,recomp_time_s,recomp_memory_bytes
getitem,activation,318,363,1393,1393,16777216,0.15852291166782378,0.016384,16777216
getitem_1,activation,319,-1,1409,1409,4194304,0.0,0.004096,4194304
getitem_3,activation,322,-1,1393,1393,32768,0.0,3.2e-05,32768
getitem_4,activation,323,-1,1394,1403,32768,0.0,3.2e-05,32768
t,activation,325,328,1387,1387,3145728,0.16002108767814932,0.003072,3145728
_unsafe_view,activation,327,328,1385,1385,16777216,0.15929187165014444,0.016384,16777216
transpose_4,activation,344,352,1353,1353,16777216,0.15398457571491592,0.016384,16777216
mul_1,activation,345,347,1357,1357,16777216,0.15533788768760848,0.016384,16777216
transpose_5,activation,346,347,1359,1359,16777216,0.1555477756820618,0.016384,16777216
_softmax,activation,348,349,1356,1356,33554432,0.15450076770596197,0.032768,33554432
getitem_5,activation,350,352,1351,1351,33554432,0.15374905571900302,0.032768,33554432
getitem_6,activation,351,-1,1355,1355,8388608,0.0,0.008192,8388608
view_4,activation,355,357,1344,1344,16777216,0.15281817572377615,0.016384,16777216
t_1,activation,356,357,1341,1341,1048576,0.15246191972307854,0.001024,1048576
getitem_8,activation,362,-1,1337,1337,4194304,0.0,0.004096,4194304
add_2,activation,363,383,1321,1321,16777216,0.14798511967621739,0.016384,16777216
getitem_10,activation,366,-1,1321,1321,32768,0.0,3.2e-05,32768
getitem_11,activation,367,-1,1322,1331,32768,0.0,3.2e-05,32768
view_7,activation,368,370,1315,1315,16777216,0.14877545570209613,0.016384,16777216
t_2,activation,369,370,1312,1312,4194304,0.1476890557128935,0.004096,4194304
relu,activation,372,373,1310,1310,67108864,0.14631606370396905,0.065536,67108864
getitem_13,activation,375,-1,1309,1309,16777216,0.0,0.016384,16777216
view_9,activation,376,378,1303,1303,67108864,0.14398947168886655,0.065536,67108864
t_3,activation,377,378,1300,1300,4194304,0.14299843167141074,0.004096,4194304
getitem_15,activation,382,-1,1298,1298,4194304,0.0,0.004096,4194304
add_3,activation,383,427,1282,1282,16777216,0.13831391966901724,0.016384,16777216
