activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem_111,CHECKPOINT,512,1e-06,2565,4702
getitem_112,CHECKPOINT,512,1e-06,2566,4702
relu__25,CHECKPOINT,1605632,0.001568,2568,4698
convolution_28,RECOMPUTE,1605632,0.001568,2569,4694
getitem_115,CHECKPOINT,512,1e-06,2573,4694
getitem_116,CHECKPOINT,512,1e-06,2574,4694
relu__26,CHECKPOINT,1605632,0.001568,2576,4690
convolution_29,CHECKPOINT,6422528,0.006272,2577,4686
getitem_119,CHECKPOINT,2048,2e-06,2581,4686
getitem_120,CHECKPOINT,2048,2e-06,2582,4686
relu__27,RECOMPUTE,6422528,0.006272,2585,4681
convolution_30,CHECKPOINT,1605632,0.001568,2586,4677
getitem_123,CHECKPOINT,512,1e-06,2590,4677
getitem_124,CHECKPOINT,512,1e-06,2591,4677
relu__28,CHECKPOINT,1605632,0.001568,2593,4673
convolution_31,CHECKPOINT,1605632,0.001568,2594,4669
getitem_127,CHECKPOINT,512,1e-06,2598,4669
getitem_128,CHECKPOINT,512,1e-06,2599,4669
relu__29,CHECKPOINT,1605632,0.001568,2601,4665
convolution_32,RECOMPUTE,6422528,0.006272,2602,4661
getitem_131,CHECKPOINT,2048,2e-06,2606,4661
getitem_132,CHECKPOINT,2048,2e-06,2607,4661
relu__30,RECOMPUTE,6422528,0.006272,2610,4656
convolution_33,CHECKPOINT,1605632,0.001568,2611,4652
getitem_135,CHECKPOINT,512,1e-06,2615,4652
getitem_136,CHECKPOINT,512,1e-06,2616,4652
relu__31,RECOMPUTE,1605632,0.001568,2618,4648
convolution_34,RECOMPUTE,1605632,0.001568,2619,4644
getitem_139,CHECKPOINT,512,1e-06,2623,4644
getitem_140,CHECKPOINT,512,1e-06,2624,4644
relu__32,CHECKPOINT,1605632,0.001568,2626,4640
convolution_35,CHECKPOINT,6422528,0.006272,2627,4636
getitem_143,CHECKPOINT,2048,2e-06,2631,4636
getitem_144,CHECKPOINT,2048,2e-06,2632,4636
relu__33,CHECKPOINT,6422528,0.006272,2635,4608
convolution_36,CHECKPOINT,3211264,0.003136,2636,4627
getitem_147,CHECKPOINT,1024,1e-06,2640,4627
getitem_148,CHECKPOINT,1024,1e-06,2641,4627
relu__34,CHECKPOINT,3211264,0.003136,2643,4623
convolution_37,CHECKPOINT,802816,0.000784,2644,4619
getitem_151,CHECKPOINT,1024,1e-06,2648,4619
getitem_152,CHECKPOINT,1024,1e-06,2649,4619
relu__35,CHECKPOINT,802816,0.000784,2651,4615
convolution_38,CHECKPOINT,3211264,0.003136,2652,4611
getitem_155,CHECKPOINT,4096,4e-06,2656,4611
getitem_156,CHECKPOINT,4096,4e-06,2657,4611
convolution_39,CHECKPOINT,3211264,0.003136,2659,4604
getitem_159,CHECKPOINT,4096,4e-06,2663,4604
getitem_160,CHECKPOINT,4096,4e-06,2664,4604
relu__36,CHECKPOINT,3211264,0.003136,2667,4599
convolution_40,CHECKPOINT,802816,0.000784,2668,4595
getitem_163,CHECKPOINT,1024,1e-06,2672,4595
getitem_164,CHECKPOINT,1024,1e-06,2673,4595
relu__37,CHECKPOINT,802816,0.000784,2675,4591
convolution_41,CHECKPOINT,802816,0.000784,2676,4587
getitem_167,CHECKPOINT,1024,1e-06,2680,4587
getitem_168,CHECKPOINT,1024,1e-06,2681,4587
relu__38,CHECKPOINT,802816,0.000784,2683,4583
convolution_42,CHECKPOINT,3211264,0.003136,2684,4579
getitem_171,CHECKPOINT,4096,4e-06,2688,4579
getitem_172,CHECKPOINT,4096,4e-06,2689,4579
relu__39,CHECKPOINT,3211264,0.003136,2692,4574
convolution_43,CHECKPOINT,802816,0.000784,2693,4570
getitem_175,CHECKPOINT,1024,1e-06,2697,4570
getitem_176,CHECKPOINT,1024,1e-06,2698,4570
relu__40,CHECKPOINT,802816,0.000784,2700,4566
convolution_44,CHECKPOINT,802816,0.000784,2701,4562
getitem_179,CHECKPOINT,1024,1e-06,2705,4562
getitem_180,CHECKPOINT,1024,1e-06,2706,4562
relu__41,CHECKPOINT,802816,0.000784,2708,4558
convolution_45,CHECKPOINT,3211264,0.003136,2709,4554
getitem_183,CHECKPOINT,4096,4e-06,2713,4554
getitem_184,CHECKPOINT,4096,4e-06,2714,4554
relu__42,CHECKPOINT,3211264,0.003136,2717,4549
convolution_46,CHECKPOINT,802816,0.000784,2718,4545
getitem_187,CHECKPOINT,1024,1e-06,2722,4545
getitem_188,CHECKPOINT,1024,1e-06,2723,4545
relu__43,CHECKPOINT,802816,0.000784,2725,4541
convolution_47,CHECKPOINT,802816,0.000784,2726,4537
getitem_191,CHECKPOINT,1024,1e-06,2730,4537
getitem_192,CHECKPOINT,1024,1e-06,2731,4537
relu__44,CHECKPOINT,802816,0.000784,2733,4533
convolution_48,CHECKPOINT,3211264,0.003136,2734,4529
getitem_195,CHECKPOINT,4096,4e-06,2738,4529
getitem_196,CHECKPOINT,4096,4e-06,2739,4529
relu__45,CHECKPOINT,3211264,0.003136,2742,4524
convolution_49,CHECKPOINT,802816,0.000784,2743,4520
getitem_199,CHECKPOINT,1024,1e-06,2747,4520
