activation_name,decision,memory_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
convolution_119,CHECKPOINT,802816,0.000784,3326,3937
getitem_479,CHECKPOINT,1024,1e-06,3330,3937
getitem_480,CHECKPOINT,1024,1e-06,3331,3937
relu__116,CHECKPOINT,802816,0.000784,3333,3933
convolution_120,CHECKPOINT,3211264,0.003136,3334,3929
getitem_483,CHECKPOINT,4096,4e-06,3338,3929
getitem_484,CHECKPOINT,4096,4e-06,3339,3929
relu__117,CHECKPOINT,3211264,0.003136,3342,3924
convolution_121,CHECKPOINT,802816,0.000784,3343,3920
getitem_487,CHECKPOINT,1024,1e-06,3347,3920
getitem_488,CHECKPOINT,1024,1e-06,3348,3920
relu__118,CHECKPOINT,802816,0.000784,3350,3916
convolution_122,CHECKPOINT,802816,0.000784,3351,3912
getitem_491,CHECKPOINT,1024,1e-06,3355,3912
getitem_492,CHECKPOINT,1024,1e-06,3356,3912
relu__119,CHECKPOINT,802816,0.000784,3358,3908
convolution_123,CHECKPOINT,3211264,0.003136,3359,3904
getitem_495,CHECKPOINT,4096,4e-06,3363,3904
getitem_496,CHECKPOINT,4096,4e-06,3364,3904
relu__120,CHECKPOINT,3211264,0.003136,3367,3899
convolution_124,CHECKPOINT,802816,0.000784,3368,3895
getitem_499,CHECKPOINT,1024,1e-06,3372,3895
getitem_500,CHECKPOINT,1024,1e-06,3373,3895
relu__121,CHECKPOINT,802816,0.000784,3375,3891
convolution_125,CHECKPOINT,802816,0.000784,3376,3887
getitem_503,CHECKPOINT,1024,1e-06,3380,3887
getitem_504,CHECKPOINT,1024,1e-06,3381,3887
relu__122,CHECKPOINT,802816,0.000784,3383,3883
convolution_126,CHECKPOINT,3211264,0.003136,3384,3879
getitem_507,CHECKPOINT,4096,4e-06,3388,3879
getitem_508,CHECKPOINT,4096,4e-06,3389,3879
relu__123,CHECKPOINT,3211264,0.003136,3392,3874
convolution_127,CHECKPOINT,802816,0.000784,3393,3870
getitem_511,CHECKPOINT,1024,1e-06,3397,3870
getitem_512,CHECKPOINT,1024,1e-06,3398,3870
relu__124,CHECKPOINT,802816,0.000784,3400,3866
convolution_128,CHECKPOINT,802816,0.000784,3401,3862
getitem_515,CHECKPOINT,1024,1e-06,3405,3862
getitem_516,CHECKPOINT,1024,1e-06,3406,3862
relu__125,CHECKPOINT,802816,0.000784,3408,3858
convolution_129,RECOMPUTE,3211264,0.003136,3409,3854
getitem_519,CHECKPOINT,4096,4e-06,3413,3854
getitem_520,CHECKPOINT,4096,4e-06,3414,3854
relu__126,CHECKPOINT,3211264,0.003136,3417,3849
convolution_130,CHECKPOINT,802816,0.000784,3418,3845
getitem_523,CHECKPOINT,1024,1e-06,3422,3845
getitem_524,CHECKPOINT,1024,1e-06,3423,3845
relu__127,CHECKPOINT,802816,0.000784,3425,3841
convolution_131,CHECKPOINT,802816,0.000784,3426,3837
getitem_527,CHECKPOINT,1024,1e-06,3430,3837
getitem_528,CHECKPOINT,1024,1e-06,3431,3837
relu__128,CHECKPOINT,802816,0.000784,3433,3833
convolution_132,CHECKPOINT,3211264,0.003136,3434,3829
getitem_531,CHECKPOINT,4096,4e-06,3438,3829
getitem_532,CHECKPOINT,4096,4e-06,3439,3829
relu__129,CHECKPOINT,3211264,0.003136,3442,3824
convolution_133,CHECKPOINT,802816,0.000784,3443,3820
getitem_535,CHECKPOINT,1024,1e-06,3447,3820
getitem_536,CHECKPOINT,1024,1e-06,3448,3820
relu__130,CHECKPOINT,802816,0.000784,3450,3816
convolution_134,CHECKPOINT,802816,0.000784,3451,3812
getitem_539,CHECKPOINT,1024,1e-06,3455,3812
getitem_540,CHECKPOINT,1024,1e-06,3456,3812
relu__131,CHECKPOINT,802816,0.000784,3458,3808
convolution_135,CHECKPOINT,3211264,0.003136,3459,3804
getitem_543,CHECKPOINT,4096,4e-06,3463,3804
getitem_544,CHECKPOINT,4096,4e-06,3464,3804
relu__132,CHECKPOINT,3211264,0.003136,3467,3799
convolution_136,CHECKPOINT,802816,0.000784,3468,3795
getitem_547,CHECKPOINT,1024,1e-06,3472,3795
getitem_548,CHECKPOINT,1024,1e-06,3473,3795
relu__133,CHECKPOINT,802816,0.000784,3475,3791
convolution_137,CHECKPOINT,802816,0.000784,3476,3787
getitem_551,CHECKPOINT,1024,1e-06,3480,3787
getitem_552,CHECKPOINT,1024,1e-06,3481,3787
relu__134,CHECKPOINT,802816,0.000784,3483,3783
convolution_138,CHECKPOINT,3211264,0.003136,3484,3779
getitem_555,CHECKPOINT,4096,4e-06,3488,3779
getitem_556,CHECKPOINT,4096,4e-06,3489,3779
relu__135,RECOMPUTE,3211264,0.003136,3492,3774
convolution_139,CHECKPOINT,802816,0.000784,3493,3770
getitem_559,CHECKPOINT,1024,1e-06,3497,3770
getitem_560,CHECKPOINT,1024,1e-06,3498,3770
relu__136,CHECKPOINT,802816,0.000784,3500,3766
convolution_140,CHECKPOINT,802816,0.000784,3501,3762
getitem_563,CHECKPOINT,1024,1e-06,3505,3762
getitem_564,CHECKPOINT,1024,1e-06,3506,3762
relu__137,CHECKPOINT,802816,0.000784,3508,3758
convolution_141,CHECKPOINT,3211264,0.003136,3509,3754
getitem_567,CHECKPOINT,4096,4e-06,3513,3754
getitem_568,CHECKPOINT,4096,4e-06,3514,3754
relu__138,CHECKPOINT,3211264,0.003136,3517,3749
convolution_142,CHECKPOINT,802816,0.000784,3518,3745
getitem_571,CHECKPOINT,1024,1e-06,3522,3745
getitem_572,CHECKPOINT,1024,1e-06,3523,3745
relu__139,CHECKPOINT,802816,0.000784,3525,3741
convolution_143,CHECKPOINT,802816,0.000784,3526,3737
getitem_575,CHECKPOINT,1024,1e-06,3530,3737
getitem_576,CHECKPOINT,1024,1e-06,3531,3737
relu__140,CHECKPOINT,802816,0.000784,3533,3733
convolution_144,RECOMPUTE,3211264,0.003136,3534,3729
getitem_579,CHECKPOINT,4096,4e-06,3538,3729
getitem_580,CHECKPOINT,4096,4e-06,3539,3729
relu__141,CHECKPOINT,3211264,0.003136,3542,3701
convolution_145,CHECKPOINT,1605632,0.001568,3543,3720
getitem_583,CHECKPOINT,2048,2e-06,3547,3720
getitem_584,CHECKPOINT,2048,2e-06,3548,3720
relu__142,CHECKPOINT,1605632,0.001568,3550,3716
convolution_146,CHECKPOINT,401408,0.0007229760177433,3551,3712
getitem_587,CHECKPOINT,2048,2e-06,3555,3712
getitem_588,CHECKPOINT,2048,2e-06,3556,3712
relu__143,CHECKPOINT,401408,0.000392,3558,3708
convolution_147,CHECKPOINT,1605632,0.001568,3559,3704
getitem_591,CHECKPOINT,8192,8e-06,3563,3704
getitem_592,CHECKPOINT,8192,8e-06,3564,3704
convolution_148,RECOMPUTE,1605632,0.001568,3566,3697
getitem_595,CHECKPOINT,8192,8e-06,3570,3697
getitem_596,CHECKPOINT,8192,8e-06,3571,3697
relu__144,CHECKPOINT,1605632,0.001568,3574,3692
convolution_149,CHECKPOINT,401408,0.000392,3575,3688
getitem_599,CHECKPOINT,2048,2e-06,3579,3688
getitem_600,CHECKPOINT,2048,2e-06,3580,3688
relu__145,CHECKPOINT,401408,0.000392,3582,3684
convolution_150,CHECKPOINT,401408,0.000653744008392,3583,3680
getitem_603,CHECKPOINT,2048,2e-06,3587,3680
getitem_604,CHECKPOINT,2048,2e-06,3588,3680
relu__146,CHECKPOINT,401408,0.000392,3590,3676
convolution_151,CHECKPOINT,1605632,0.001568,3591,3672
getitem_607,CHECKPOINT,8192,8e-06,3595,3672
getitem_608,CHECKPOINT,8192,8e-06,3596,3672
relu__147,CHECKPOINT,1605632,0.001568,3599,3667
convolution_152,CHECKPOINT,401408,0.000392,3600,3663
getitem_611,CHECKPOINT,2048,2e-06,3604,3663
getitem_612,CHECKPOINT,2048,2e-06,3605,3663
relu__148,CHECKPOINT,401408,0.000392,3607,3659
convolution_153,CHECKPOINT,401408,0.0007024639807641,3608,3655
getitem_615,CHECKPOINT,2048,2e-06,3612,3655
getitem_616,CHECKPOINT,2048,2e-06,3613,3655
relu__149,CHECKPOINT,401408,0.000392,3615,3651
convolution_154,CHECKPOINT,1605632,0.001568,3616,3647
getitem_619,CHECKPOINT,8192,8e-06,3620,3647
getitem_620,CHECKPOINT,8192,8e-06,3621,3647
relu__150,CHECKPOINT,1605632,0.001568,3624,3646
view,CHECKPOINT,32768,0.0002416639961302,3626,3638
t,RECOMPUTE,8192000,0.008,3627,3635
