activation_name,decision,median_mem_size_bytes,recomp_time_s,creation_rank,first_bw_use_rank
getitem,RETAINED,1048576,0.0010910719968378,318,1393
getitem_1,RETAINED,262144,0.000256,319,1409
getitem_3,RETAINED,2048,2e-06,322,1393
getitem_4,RETAINED,2048,2e-06,323,1394
t,RETAINED,3145728,0.003072,325,1387
_unsafe_view,RETAINED,1048576,0.001024,327,1385
transpose_4,RETAINED,1048576,0.001024,344,1353
mul_1,RETAINED,1048576,0.001024,345,1357
transpose_5,RETAINED,1048576,0.001024,346,1359
_softmax,RETAINED,2097152,0.002048,348,1356
getitem_5,RETAINED,2097152,0.002048,350,1351
getitem_6,RETAINED,524288,0.000512,351,1355
view_4,RETAINED,1048576,0.001024,355,1344
t_1,RETAINED,1048576,0.001024,356,1341
getitem_8,RETAINED,262144,0.000256,362,1337
add_2,RETAINED,1048576,0.001024,363,1321
getitem_10,RETAINED,2048,2e-06,366,1321
getitem_11,RETAINED,2048,2e-06,367,1322
view_7,RETAINED,1048576,0.001024,368,1315
t_2,RETAINED,4194304,0.004096,369,1312
relu,RETAINED,4194304,0.004096,372,1310
getitem_13,RETAINED,1048576,0.001024,375,1309
view_9,RETAINED,4194304,0.004096,376,1303
t_3,RETAINED,4194304,0.004096,377,1300
getitem_15,RETAINED,262144,0.000256,382,1298
add_3,RETAINED,1048576,0.0010598400020971,383,1282
getitem_17,RETAINED,2048,2e-06,386,1282
getitem_18,RETAINED,2048,2e-06,387,1283
t_4,RETAINED,3145728,0.003072,389,1276
_unsafe_view_2,RETAINED,1048576,0.001024,391,1274
transpose_12,RETAINED,1048576,0.001024,408,1242
mul_2,RETAINED,1048576,0.001024,409,1246
transpose_13,RETAINED,1048576,0.001024,410,1248
_softmax_1,RETAINED,2097152,0.002048,412,1245
getitem_19,RETAINED,2097152,0.002048,414,1240
getitem_20,RETAINED,524288,0.000512,415,1244
view_15,RETAINED,1048576,0.001024,419,1233
t_5,RETAINED,1048576,0.001024,420,1230
getitem_22,RETAINED,262144,0.000256,426,1226
add_5,RETAINED,1048576,0.001024,427,1210
getitem_24,RETAINED,2048,2e-06,430,1210
getitem_25,RETAINED,2048,2e-06,431,1211
view_18,RETAINED,1048576,0.001024,432,1204
t_6,RETAINED,4194304,0.004096,433,1201
relu_1,RETAINED,4194304,0.004096,436,1199
getitem_27,RETAINED,1048576,0.001024,439,1198
view_20,RETAINED,4194304,0.004096,440,1192
t_7,RETAINED,4194304,0.004096,441,1189
getitem_29,RETAINED,262144,0.000256,446,1187
add_6,RETAINED,1048576,0.0010726400054991,447,1171
getitem_31,RETAINED,2048,2e-06,450,1171
getitem_32,RETAINED,2048,2e-06,451,1172
t_8,RETAINED,3145728,0.003072,453,1165
_unsafe_view_4,RETAINED,1048576,0.001024,455,1163
transpose_20,RETAINED,1048576,0.001024,472,1131
mul_3,RETAINED,1048576,0.001024,473,1135
transpose_21,RETAINED,1048576,0.001024,474,1137
_softmax_2,RETAINED,2097152,0.002048,476,1134
getitem_33,RETAINED,2097152,0.002048,478,1129
getitem_34,RETAINED,524288,0.000512,479,1133
view_26,RETAINED,1048576,0.001024,483,1122
t_9,RETAINED,1048576,0.001024,484,1119
getitem_36,RETAINED,262144,0.000256,490,1115
add_8,RETAINED,1048576,0.001024,491,1099
getitem_38,RETAINED,2048,2e-06,494,1099
getitem_39,RETAINED,2048,2e-06,495,1100
view_29,RETAINED,1048576,0.001024,496,1093
t_10,RETAINED,4194304,0.004096,497,1090
relu_2,RETAINED,4194304,0.004096,500,1088
getitem_41,RETAINED,1048576,0.001024,503,1087
view_31,RETAINED,4194304,0.004096,504,1081
t_11,RETAINED,4194304,0.004096,505,1078
getitem_43,RETAINED,262144,0.000256,510,1076
add_9,RETAINED,1048576,0.0010767360068857,511,1060
getitem_45,RETAINED,2048,2e-06,514,1060
getitem_46,RETAINED,2048,2e-06,515,1061
t_12,RETAINED,3145728,0.003072,517,1054
_unsafe_view_6,RETAINED,1048576,0.001024,519,1052
transpose_28,RETAINED,1048576,0.001024,536,1020
mul_4,RETAINED,1048576,0.001024,537,1024
transpose_29,RETAINED,1048576,0.001024,538,1026
_softmax_3,RETAINED,2097152,0.002048,540,1023
getitem_47,RETAINED,2097152,0.002048,542,1018
getitem_48,RETAINED,524288,0.000512,543,1022
view_37,RETAINED,1048576,0.001024,547,1011
t_13,RETAINED,1048576,0.001024,548,1008
getitem_50,RETAINED,262144,0.000256,554,1004
add_11,RETAINED,1048576,0.001024,555,988
getitem_52,RETAINED,2048,2e-06,558,988
getitem_53,RETAINED,2048,2e-06,559,989
view_40,RETAINED,1048576,0.001024,560,982
t_14,RETAINED,4194304,0.004096,561,979
relu_3,RETAINED,4194304,0.004096,564,977
getitem_55,RETAINED,1048576,0.001024,567,976
view_42,RETAINED,4194304,0.004096,568,970
t_15,RETAINED,4194304,0.004096,569,967
getitem_57,RETAINED,262144,0.000256,574,965
add_12,RETAINED,1048576,0.0011023360025137,575,949
getitem_59,RETAINED,2048,2e-06,578,949
getitem_60,RETAINED,2048,2e-06,579,950
t_16,RETAINED,3145728,0.003072,581,943
_unsafe_view_8,RETAINED,1048576,0.001024,583,941
transpose_36,RETAINED,1048576,0.001024,600,909
mul_5,RETAINED,1048576,0.001024,601,913
transpose_37,RETAINED,1048576,0.001024,602,915
_softmax_4,RETAINED,2097152,0.002048,604,912
getitem_61,RETAINED,2097152,0.002048,606,907
getitem_62,RETAINED,524288,0.000512,607,911
view_48,RETAINED,1048576,0.001024,611,900
t_17,RETAINED,1048576,0.001024,612,897
getitem_64,RETAINED,262144,0.000256,618,893
add_14,RETAINED,1048576,0.001024,619,877
getitem_66,RETAINED,2048,2e-06,622,877
getitem_67,RETAINED,2048,2e-06,623,878
view_51,RETAINED,1048576,0.001024,624,871
t_18,RETAINED,4194304,0.004096,625,868
relu_4,RETAINED,4194304,0.004096,628,866
getitem_69,RETAINED,1048576,0.001024,631,865
view_53,RETAINED,4194304,0.004096,632,859
t_19,RETAINED,4194304,0.004096,633,856
getitem_71,RETAINED,262144,0.000256,638,854
add_15,RETAINED,1048576,0.0011151359938085,639,838
getitem_73,RETAINED,2048,2e-06,642,838
getitem_74,RETAINED,2048,2e-06,643,839
t_20,RETAINED,3145728,0.003072,645,832
_unsafe_view_10,RETAINED,1048576,0.001024,647,830
transpose_44,RETAINED,1048576,0.001024,664,798
mul_6,RETAINED,1048576,0.001024,665,802
transpose_45,RETAINED,1048576,0.001024,666,804
_softmax_5,RETAINED,2097152,0.002048,668,801
getitem_75,RETAINED,2097152,0.002048,670,796
getitem_76,RETAINED,524288,0.000512,671,800
view_59,RETAINED,1048576,0.001024,675,789
t_21,RETAINED,1048576,0.001024,676,786
getitem_78,RETAINED,262144,0.000256,682,782
add_17,RETAINED,1048576,0.001024,683,766
getitem_80,RETAINED,2048,2e-06,686,766
getitem_81,RETAINED,2048,2e-06,687,767
view_62,RETAINED,1048576,0.001024,688,760
t_22,RETAINED,4194304,0.004096,689,757
relu_5,RETAINED,4194304,0.004096,692,755
getitem_83,RETAINED,1048576,0.001024,695,754
view_64,RETAINED,4194304,0.004096,696,748
t_23,RETAINED,4194304,0.004096,697,745
getitem_85,RETAINED,262144,0.000256,702,743
add_18,RETAINED,1048576,0.001024,703,728
