activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,median_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
getitem_177,2699,-1,4570,4570,0,0.0,0.0,1e-06,0,0.1
relu__40,2700,2701,4566,4569,12845056,0.39508998467866197,0.0,0.012544,12845056,12544.0
convolution_44,2701,2703,4562,4562,12845056,0.3946556166736395,0.0,0.012544,12845056,12544.0
getitem_179,2705,-1,4562,4562,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_180,2706,-1,4562,4562,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_181,2707,-1,4562,4562,0,0.0,0.0,1e-06,0,0.1
relu__41,2708,2709,4558,4561,12845056,0.39250720067228984,0.0,0.012544,12845056,12544.0
convolution_45,2709,2711,4554,4554,51380224,0.39164505667891214,0.0,0.050176,51380224,50176.0
getitem_183,2713,-1,4554,4554,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_184,2714,-1,4554,4554,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_185,2715,-1,4554,4554,0,0.0,0.0,1e-06,0,0.1
relu__42,2717,2741,4549,4553,51380224,0.38445312068704385,0.0,0.050176,51380224,50176.0
convolution_46,2718,2720,4545,4545,12845056,0.3878996487176033,0.0,0.012544,12845056,12544.0
getitem_187,2722,-1,4545,4545,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_188,2723,-1,4545,4545,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_189,2724,-1,4545,4545,0,0.0,0.0,1e-06,0,0.1
relu__43,2725,2726,4541,4544,12845056,0.3844035206539544,0.0,0.012544,12845056,12544.0
convolution_47,2726,2728,4537,4537,12845056,0.38404825665149706,0.0,0.012544,12845056,12544.0
getitem_191,2730,-1,4537,4537,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_192,2731,-1,4537,4537,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_193,2732,-1,4537,4537,0,0.0,0.0,1e-06,0,0.1
relu__44,2733,2734,4533,4536,12845056,0.381927872627041,0.0,0.012544,12845056,12544.0
convolution_48,2734,2736,4529,4529,51380224,0.3810880326265456,0.0,0.050176,51380224,50176.0
getitem_195,2738,-1,4529,4529,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_196,2739,-1,4529,4529,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_197,2740,-1,4529,4529,0,0.0,0.0,1e-06,0,0.1
relu__45,2742,2766,4524,4528,51380224,0.3738864326095195,0.0,0.050176,51380224,50176.0
convolution_49,2743,2745,4520,4520,12845056,0.3773726406367483,0.0,0.012544,12845056,12544.0
getitem_199,2747,-1,4520,4520,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_200,2748,-1,4520,4520,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_201,2749,-1,4520,4520,0,0.0,0.0,1e-06,0,0.1
relu__46,2750,2751,4516,4519,12845056,0.3739642246598364,0.0,0.012544,12845056,12544.0
convolution_50,2751,2753,4512,4512,12845056,0.37358873665984577,0.0,0.012544,12845056,12544.0
getitem_203,2755,-1,4512,4512,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_204,2756,-1,4512,4512,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_205,2757,-1,4512,4512,0,0.0,0.0,1e-06,0,0.1
relu__47,2758,2759,4508,4511,12845056,0.37145081664528556,0.0,0.012544,12845056,12544.0
convolution_51,2759,2761,4504,4504,51380224,0.37057904064748304,0.0,0.050176,51380224,50176.0
getitem_207,2763,-1,4504,4504,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_208,2764,-1,4504,4504,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_209,2765,-1,4504,4504,0,0.0,0.0,1e-06,0,0.1
relu__48,2767,2791,4499,4503,51380224,0.3629639686336728,0.0,0.050176,51380224,50176.0
convolution_52,2768,2770,4495,4495,12845056,0.36649558465089516,0.0,0.012544,12845056,12544.0
getitem_211,2772,-1,4495,4495,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_212,2773,-1,4495,4495,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_213,2774,-1,4495,4495,0,0.0,0.0,1e-06,0,0.1
relu__49,2775,2776,4491,4494,12845056,0.363020160638726,0.0,0.012544,12845056,12544.0
convolution_53,2776,2778,4487,4487,12845056,0.36259433662798135,0.0,0.012544,12845056,12544.0
getitem_215,2780,-1,4487,4487,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_216,2781,-1,4487,4487,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_217,2782,-1,4487,4487,0,0.0,0.0,1e-06,0,0.1
relu__50,2783,2784,4483,4486,12845056,0.36045942466240266,0.0,0.012544,12845056,12544.0
convolution_54,2784,2786,4479,4479,51380224,0.3595966086564574,0.0,0.050176,51380224,50176.0
getitem_219,2788,-1,4479,4479,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_220,2789,-1,4479,4479,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_221,2790,-1,4479,4479,0,0.0,0.0,1e-06,0,0.1
relu__51,2792,2816,4474,4478,51380224,0.35228729670029024,0.0,0.050176,51380224,50176.0
convolution_55,2793,2795,4470,4470,12845056,0.35578108869586034,0.0,0.012544,12845056,12544.0
getitem_223,2797,-1,4470,4470,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_224,2798,-1,4470,4470,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_225,2799,-1,4470,4470,0,0.0,0.0,1e-06,0,0.1
relu__52,2800,2801,4466,4469,12845056,0.3522773766545567,0.0,0.012544,12845056,12544.0
convolution_56,2801,2803,4462,4462,12845056,0.35190800065826505,0.0,0.012544,12845056,12544.0
getitem_227,2805,-1,4462,4462,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_228,2806,-1,4462,4462,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_229,2807,-1,4462,4462,0,0.0,0.0,1e-06,0,0.1
relu__53,2808,2809,4458,4461,12845056,0.34970128069352246,0.0,0.012544,12845056,12544.0
convolution_57,2809,2811,4454,4454,51380224,0.3488553926842276,0.0,0.050176,51380224,50176.0
getitem_231,2813,-1,4454,4454,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_232,2814,-1,4454,4454,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_233,2815,-1,4454,4454,0,0.0,0.0,1e-06,0,0.1
relu__54,2817,2841,4449,4453,51380224,0.3417433606339608,0.0,0.050176,51380224,50176.0
convolution_58,2818,2820,4445,4445,12845056,0.3451517126793031,0.0,0.012544,12845056,12544.0
getitem_235,2822,-1,4445,4445,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_236,2823,-1,4445,4445,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_237,2824,-1,4445,4445,0,0.0,0.0,1e-06,0,0.1
relu__55,2825,2826,4441,4444,12845056,0.34170646465290233,0.0,0.012544,12845056,12544.0
convolution_59,2826,2828,4437,4437,12845056,0.34132355265784914,0.0,0.012544,12845056,12544.0
getitem_239,2830,-1,4437,4437,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_240,2831,-1,4437,4437,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_241,2832,-1,4437,4437,0,0.0,0.0,1e-06,0,0.1
relu__56,2833,2834,4433,4436,12845056,0.3391805766196913,0.0,0.012544,12845056,12544.0
convolution_60,2834,2836,4429,4429,51380224,0.338296864625997,0.0,0.050176,51380224,50176.0
getitem_243,2838,-1,4429,4429,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_244,2839,-1,4429,4429,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_245,2840,-1,4429,4429,0,0.0,0.0,1e-06,0,0.1
relu__57,2842,2866,4424,4428,51380224,0.33088441661279544,0.0,0.050176,51380224,50176.0
convolution_61,2843,2845,4420,4420,12845056,0.33456025662552474,0.0,0.012544,12845056,12544.0
getitem_247,2847,-1,4420,4420,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_248,2848,-1,4420,4420,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_249,2849,-1,4420,4420,0,0.0,0.0,1e-06,0,0.1
relu__58,2850,2851,4416,4419,12845056,0.3310452486304557,0.0,0.012544,12845056,12544.0
convolution_62,2851,2853,4412,4412,12845056,0.33059808063972645,0.0,0.012544,12845056,12544.0
getitem_251,2855,-1,4412,4412,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_252,2856,-1,4412,4412,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_253,2857,-1,4412,4412,0,0.0,0.0,1e-06,0,0.1
relu__59,2858,2859,4408,4411,12845056,0.3283997126622115,0.0,0.012544,12845056,12544.0
convolution_63,2859,2861,4404,4404,51380224,0.3275513926586126,0.0,0.050176,51380224,50176.0
getitem_255,2863,-1,4404,4404,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_256,2864,-1,4404,4404,4096,0.0,0.0,4e-06,4096,0.4140625
getitem_257,2865,-1,4404,4404,0,0.0,0.0,1e-06,0,0.1
relu__60,2867,2891,4399,4403,51380224,0.3201128006996579,0.0,0.050176,51380224,50176.0
convolution_64,2868,2870,4395,4395,12845056,0.3237200646931297,0.0,0.012544,12845056,12544.0
getitem_259,2872,-1,4395,4395,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_260,2873,-1,4395,4395,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_261,2874,-1,4395,4395,0,0.0,0.0,1e-06,0,0.1
relu__61,2875,2876,4391,4394,12845056,0.320243776661343,0.0,0.012544,12845056,12544.0
convolution_65,2876,2878,4387,4387,12845056,0.3198576966663814,0.0,0.012544,12845056,12544.0
getitem_263,2880,-1,4387,4387,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_264,2881,-1,4387,4387,1024,0.0,0.0,1e-06,1024,0.10087890625000001
getitem_265,2882,-1,4387,4387,0,0.0,0.0,1e-06,0,0.1
relu__62,2883,2884,4383,4386,12845056,0.31771363270748326,0.0,0.012544,12845056,12544.0
convolution_66,2884,2886,4379,4379,51380224,0.31683718471508393,0.0,0.050176,51380224,50176.0
