activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,avg_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
getitem_59,2456,-1,4811,4811,2048,0.0,0.0,0.0,2048,0.0
getitem_60,2457,-1,4811,4811,2048,0.0,0.0,0.0,2048,0.0
getitem_61,2458,-1,4811,4811,0,0.0,0.0,0.0,0,0.0
relu__12,2460,2484,4806,4810,25690112,0.5333288646265868,0.0,0.008373215932399033,25690112,inf
convolution_15,2461,2463,4802,4802,6422528,0.5402756805382676,0.0,0.0008345279991626739,6422528,inf
getitem_63,2465,-1,4802,4802,512,0.0,0.0,0.0,512,0.0
getitem_64,2466,-1,4802,4802,512,0.0,0.0,0.0,512,0.0
getitem_65,2467,-1,4802,4802,0,0.0,0.0,0.0,0,0.0
relu__13,2468,2469,4798,4801,6422528,0.5367592645473785,0.0,0.0013813759610056878,6422528,inf
convolution_16,2469,2471,4794,4794,6422528,0.5358038725592202,0.0,0.0017981439530849457,6422528,inf
getitem_67,2473,-1,4794,4794,512,0.0,0.0,0.0,512,0.0
getitem_68,2474,-1,4794,4794,512,0.0,0.0,0.0,512,0.0
getitem_69,2475,-1,4794,4794,0,0.0,0.0,0.0,0,0.0
relu__14,2476,2477,4790,4793,6422528,0.5338285765796907,0.0,0.0008171519935131073,6422528,inf
convolution_17,2477,2479,4786,4786,25690112,0.5305190085582441,0.0,0.002385919988155365,25690112,inf
getitem_71,2481,-1,4786,4786,2048,0.0,0.0,0.0,2048,0.0
getitem_72,2482,-1,4786,4786,2048,0.0,0.0,0.0,2048,0.0
getitem_73,2483,-1,4786,4786,0,0.0,0.0,0.0,0,0.0
relu__15,2485,2509,4781,4785,25690112,0.5151497925817969,0.0,0.0079421440474689,25690112,inf
convolution_18,2486,2488,4777,4777,6422528,0.5217064646296209,0.0,0.000838655985891819,6422528,inf
getitem_75,2490,-1,4777,4777,512,0.0,0.0,0.0,512,0.0
getitem_76,2491,-1,4777,4777,512,0.0,0.0,0.0,512,0.0
getitem_77,2492,-1,4777,4777,0,0.0,0.0,0.0,0,0.0
relu__16,2493,2494,4773,4776,6422528,0.5182566086463634,0.0,0.001416192002594471,6422528,inf
convolution_19,2494,2496,4769,4769,6422528,0.5175561926476661,0.0,0.0015493120104074479,6422528,inf
getitem_79,2498,-1,4769,4769,512,0.0,0.0,0.0,512,0.0
getitem_80,2499,-1,4769,4769,512,0.0,0.0,0.0,512,0.0
getitem_81,2500,-1,4769,4769,0,0.0,0.0,0.0,0,0.0
relu__17,2501,2502,4765,4768,6422528,0.5157129926867787,0.0,0.0007587839886546134,6422528,inf
convolution_20,2502,2504,4761,4761,25690112,0.5123348166421059,0.0,0.0022978560253977777,25690112,inf
getitem_83,2506,-1,4761,4761,2048,0.0,0.0,0.0,2048,0.0
getitem_84,2507,-1,4761,4761,2048,0.0,0.0,0.0,2048,0.0
getitem_85,2508,-1,4761,4761,0,0.0,0.0,0.0,0,0.0
relu__18,2510,2534,4756,4760,25690112,0.49746224067919026,0.0,0.007485439850017428,25690112,inf
convolution_21,2511,2513,4752,4752,6422528,0.5037137605082246,0.0,0.0007669760063290595,6422528,inf
getitem_87,2515,-1,4752,4752,512,0.0,0.0,0.0,512,0.0
getitem_88,2516,-1,4752,4752,512,0.0,0.0,0.0,512,0.0
getitem_89,2517,-1,4752,4752,0,0.0,0.0,0.0,0,0.0
relu__19,2518,2519,4748,4751,6422528,0.5004666565191004,0.0,0.001372159991413355,6422528,inf
convolution_22,2519,2521,4744,4744,6422528,0.4998266565110539,0.0,0.001492991991341114,6422528,inf
getitem_91,2523,-1,4744,4744,512,0.0,0.0,0.0,512,0.0
getitem_92,2524,-1,4744,4744,512,0.0,0.0,0.0,512,0.0
getitem_93,2525,-1,4744,4744,0,0.0,0.0,0.0,0,0.0
relu__20,2526,2527,4740,4743,6422528,0.4981135045364505,0.0,0.0007208959795534611,6422528,inf
convolution_23,2527,2529,4736,4736,25690112,0.49502409658581076,0.0,0.002215935952961445,25690112,inf
getitem_95,2531,-1,4736,4736,2048,0.0,0.0,0.0,2048,0.0
getitem_96,2532,-1,4736,4736,2048,0.0,0.0,0.0,2048,0.0
getitem_97,2533,-1,4736,4736,0,0.0,0.0,0.0,0,0.0
relu__21,2535,2559,4731,4735,25690112,0.480158752799035,0.0,0.007502784006297588,25690112,inf
convolution_24,2536,2538,4727,4727,6422528,0.4863661768063909,0.0,0.0008448000103235244,6422528,inf
getitem_99,2540,-1,4727,4727,512,0.0,0.0,0.0,512,0.0
getitem_100,2541,-1,4727,4727,512,0.0,0.0,0.0,512,0.0
getitem_101,2542,-1,4727,4727,0,0.0,0.0,0.0,0,0.0
relu__22,2543,2544,4723,4726,6422528,0.48335766472481256,0.0,0.0011008000560104847,6422528,inf
convolution_25,2544,2546,4719,4719,6422528,0.4828016327153898,0.0,0.0012113920524716376,6422528,inf
getitem_103,2548,-1,4719,4719,512,0.0,0.0,0.0,512,0.0
getitem_104,2549,-1,4719,4719,512,0.0,0.0,0.0,512,0.0
getitem_105,2550,-1,4719,4719,0,0.0,0.0,0.0,0,0.0
relu__23,2551,2552,4715,4718,6422528,0.48103318472392925,0.0,0.0006594560146331787,6422528,inf
convolution_26,2552,2554,4711,4711,25690112,0.4776520007532097,0.0,0.002272191971540451,25690112,inf
getitem_107,2556,-1,4711,4711,2048,0.0,0.0,0.0,2048,0.0
getitem_108,2557,-1,4711,4711,2048,0.0,0.0,0.0,2048,0.0
getitem_109,2558,-1,4711,4711,0,0.0,0.0,0.0,0,0.0
relu__24,2560,2584,4706,4710,25690112,0.4630632006712264,0.0,0.007233408065512777,25690112,inf
convolution_27,2561,2563,4702,4702,6422528,0.4691078087259091,0.0,0.0006604160070419312,6422528,inf
getitem_111,2565,-1,4702,4702,512,0.0,0.0,0.0,512,0.0
getitem_112,2566,-1,4702,4702,512,0.0,0.0,0.0,512,0.0
getitem_113,2567,-1,4702,4702,0,0.0,0.0,0.0,0,0.0
relu__25,2568,2569,4698,4701,6422528,0.46609315273910834,0.0,0.0010895359739661217,6422528,inf
convolution_28,2569,2571,4694,4694,6422528,0.4654736967459328,0.0,0.001189823977649212,6422528,inf
getitem_115,2573,-1,4694,4694,512,0.0,0.0,0.0,512,0.0
getitem_116,2574,-1,4694,4694,512,0.0,0.0,0.0,512,0.0
getitem_117,2575,-1,4694,4694,0,0.0,0.0,0.0,0,0.0
relu__26,2576,2577,4690,4693,6422528,0.46383836874738404,0.0,0.0006225920058786869,6422528,inf
convolution_29,2577,2579,4686,4686,25690112,0.46049091279879273,0.0,0.0022753279730677606,25690112,inf
getitem_119,2581,-1,4686,4686,2048,0.0,0.0,0.0,2048,0.0
getitem_120,2582,-1,4686,4686,2048,0.0,0.0,0.0,2048,0.0
getitem_121,2583,-1,4686,4686,0,0.0,0.0,0.0,0,0.0
relu__27,2585,2609,4681,4685,25690112,0.444785856772215,0.0,0.007918559860438108,25690112,inf
convolution_30,2586,2588,4677,4677,6422528,0.45133737663924756,0.0,0.0008202240020036697,6422528,inf
getitem_123,2590,-1,4677,4677,512,0.0,0.0,0.0,512,0.0
getitem_124,2591,-1,4677,4677,512,0.0,0.0,0.0,512,0.0
getitem_125,2592,-1,4677,4677,0,0.0,0.0,0.0,0,0.0
relu__28,2593,2594,4673,4676,6422528,0.4481271366495645,0.0,0.001146879967302084,6422528,inf
convolution_31,2594,2596,4669,4669,6422528,0.44744515265710716,0.0,0.0013230079710483552,6422528,inf
getitem_127,2598,-1,4669,4669,512,0.0,0.0,0.0,512,0.0
getitem_128,2599,-1,4669,4669,512,0.0,0.0,0.0,512,0.0
getitem_129,2600,-1,4669,4669,0,0.0,0.0,0.0,0,0.0
relu__29,2601,2602,4665,4668,6422528,0.4453050566781319,0.0,0.0009102719873189927,6422528,inf
convolution_32,2602,2604,4661,4661,25690112,0.44204972874559545,0.0,0.0023920319601893423,25690112,inf
getitem_131,2606,-1,4661,4661,2048,0.0,0.0,0.0,2048,0.0
getitem_132,2607,-1,4661,4661,2048,0.0,0.0,0.0,2048,0.0
getitem_133,2608,-1,4661,4661,0,0.0,0.0,0.0,0,0.0
relu__30,2610,2634,4656,4660,25690112,0.42723347278311913,0.0,0.007269375961273909,25690112,inf
convolution_33,2611,2613,4652,4652,6422528,0.43333856076002214,0.0,0.0006676480025053025,6422528,inf
getitem_135,2615,-1,4652,4652,512,0.0,0.0,0.0,512,0.0
getitem_136,2616,-1,4652,4652,512,0.0,0.0,0.0,512,0.0
getitem_137,2617,-1,4652,4652,0,0.0,0.0,0.0,0,0.0
relu__31,2618,2619,4648,4651,6422528,0.43015084879845467,0.0,0.0010977279879152775,6422528,inf
convolution_34,2619,2621,4644,4644,6422528,0.429547712791712,0.0,0.0012113919891417026,6422528,inf
getitem_139,2623,-1,4644,4644,512,0.0,0.0,0.0,512,0.0
getitem_140,2624,-1,4644,4644,512,0.0,0.0,0.0,512,0.0
getitem_141,2625,-1,4644,4644,0,0.0,0.0,0.0,0,0.0
relu__32,2626,2627,4640,4643,6422528,0.42778131281212073,0.0,0.0006512639857828617,6422528,inf
convolution_35,2627,2629,4636,4636,25690112,0.4244666247963914,0.0,0.0022630400136113165,25690112,inf
getitem_143,2631,-1,4636,4636,2048,0.0,0.0,0.0,2048,0.0
getitem_144,2632,-1,4636,4636,2048,0.0,0.0,0.0,2048,0.0
getitem_145,2633,-1,4636,4636,0,0.0,0.0,0.0,0,0.0
relu__33,2635,2659,4608,4635,25690112,0.3997367367912089,0.0,0.007511327927932144,25690112,inf
convolution_36,2636,2638,4627,4627,12845056,0.41435350473597704,0.0,0.0011633600257337094,12845056,inf
getitem_147,2640,-1,4627,4627,1024,0.0,0.0,0.0,1024,0.0
getitem_148,2641,-1,4627,4627,1024,0.0,0.0,0.0,1024,0.0
getitem_149,2642,-1,4627,4627,0,0.0,0.0,0.0,0,0.0
relu__34,2643,2644,4623,4626,12845056,0.4105011527501051,0.0,0.0016302080005407334,12845056,inf
convolution_37,2644,2646,4619,4619,3211264,0.4099296327531343,0.0,0.001709184005856514,3211264,inf
getitem_151,2648,-1,4619,4619,1024,0.0,0.0,0.0,1024,0.0
getitem_152,2649,-1,4619,4619,1024,0.0,0.0,0.0,1024,0.0
getitem_153,2650,-1,4619,4619,0,0.0,0.0,0.0,0,0.0
relu__35,2651,2652,4615,4618,3211264,0.4083086407836532,0.0,0.000656383976340294,3211264,inf
convolution_38,2652,2654,4611,4611,12845056,0.4067603527884935,0.0,0.000961535967886448,12845056,inf
getitem_155,2656,-1,4611,4611,4096,0.0,0.0,0.0,4096,0.0
getitem_156,2657,-1,4611,4611,4096,0.0,0.0,0.0,4096,0.0
getitem_157,2658,-1,4611,4611,0,0.0,0.0,0.0,0,0.0
convolution_39,2659,2661,4604,4604,12845056,0.39842499282397376,0.0,0.003515391930937767,12845056,inf
getitem_159,2663,-1,4604,4604,4096,0.0,0.0,0.0,4096,0.0
getitem_160,2664,-1,4604,4604,4096,0.0,0.0,0.0,4096,0.0
getitem_161,2665,-1,4604,4604,0,0.0,0.0,0.0,0,0.0
relu__36,2667,2691,4599,4603,12845056,0.39159913680888747,0.0,0.00390950396284461,12845056,inf
convolution_40,2668,2670,4595,4595,3211264,0.39438742475025396,0.0,0.0007813120186328888,3211264,inf
getitem_163,2672,-1,4595,4595,1024,0.0,0.0,0.0,1024,0.0
getitem_164,2673,-1,4595,4595,1024,0.0,0.0,0.0,1024,0.0
getitem_165,2674,-1,4595,4595,0,0.0,0.0,0.0,0,0.0
relu__37,2675,2676,4591,4594,3211264,0.39136969676055056,0.0,0.001202175959944725,3211264,inf
convolution_41,2676,2678,4587,4587,3211264,0.3908413127604876,0.0,0.0013393919616937638,3211264,inf
getitem_167,2680,-1,4587,4587,1024,0.0,0.0,0.0,1024,0.0
