activation_name,creation_rank,last_fw_use_rank,first_bw_use_rank,last_bw_use_rank,avg_mem_size_bytes,inactive_time_s,avg_swap_time_s,recomp_time_s,recomp_memory_bytes,recompute_ratio
relu,11,13,35,40,16384,0.0010186560023576021,0.0,0.00010827200300991537,16384,12.349775343318473
t_1,12,13,32,32,65536,0.0008965440019965172,0.0,6.827200204133988e-05,65536,10.667500318959355
relu_1,14,16,26,31,16384,0.0004554559998214245,0.0,9.703999944031237e-05,16384,11.068624936160633
t_2,15,16,23,23,5120,0.00028022400289773943,0.0,6.07680007815361e-05,5120,6.343846956588095
